0.0443211	0.01
0.047456	0.02
0.048496	0.03
0.0488369	0.04
0.0490389	0.05
0.049304	0.06
0.050072	0.07
0.0543141	0.08
0.072315	0.09
0.072495	0.10
0.0725908	0.11
0.0737619	0.12
0.0743918	0.13
0.0769501	0.14
0.0771029	0.15
0.0850508	0.16
0.0876839	0.17
0.0883212	0.18
0.0888431	0.19
0.0892859	0.20
0.0894759	0.21
0.0895629	0.22
0.090486	0.23
0.0911779	0.24
0.0912271	0.25
0.200195	0.26
0.202844	0.27
0.278935	0.28
0.327356	0.29
0.332285	0.30
0.333348	0.31
0.334124	0.32
0.342795	0.33
0.344021	0.34
0.420442	0.35
0.421478	0.36
0.453651	0.37
0.453849	0.38
0.548327	0.39
0.688962	0.40
0.690441	0.41
0.711729	0.42
0.711759	0.43
0.793141	0.44
0.969516	0.45
1.06982	0.46
1.09135	0.47
1.11741	0.48
1.63383	0.49
1.64316	0.50
1.88622	0.51
1.90034	0.52
1.96585	0.53
1.99542	0.54
2.25753	0.55
2.29205	0.56
2.38561	0.57
2.39806	0.58
2.49189	0.59
2.5214	0.60
2.7936	0.61
3.16698	0.62
3.21603	0.63
3.46894	0.64
3.80226	0.65
3.80927	0.66
3.84388	0.67
3.97126	0.68
4.02076	0.69
4.08791	0.70
4.09324	0.71
4.11874	0.72
4.18159	0.73
4.34559	0.74
4.59805	0.75
4.60749	0.76
4.70863	0.77
5.06073	0.78
5.26639	0.79
5.38834	0.80
5.45397	0.81
5.85928	0.82
6.12763	0.83
6.35674	0.84
6.75912	0.85
7.34677	0.86
7.7881	0.87
7.91339	0.88
8.10812	0.89
9.34835	0.90
9.84195	0.91
10.9672	0.92
12.5411	0.93
13.5926	0.94
14.0611	0.95
16.8184	0.96
19.1806	0.97
22.383	0.98
28.6424	0.99
44.1025	1.00

