0.005054	0.01
0.0050931	0.02
0.00514412	0.03
0.00514603	0.04
0.00516081	0.05
0.00517797	0.06
0.00517917	0.07
0.00517917	0.08
0.00518894	0.09
0.00519109	0.10
0.00520515	0.11
0.00520611	0.12
0.00521708	0.13
0.00523591	0.14
0.00529909	0.15
0.00532293	0.16
0.00533819	0.17
0.00537205	0.18
0.00549698	0.19
0.00552011	0.20
0.00583315	0.21
0.00584197	0.22
0.00635195	0.23
0.007061	0.24
0.00708604	0.25
0.00708818	0.26
0.00710011	0.27
0.00710297	0.28
0.00711298	0.29
0.00717688	0.30
0.00725985	0.31
0.0072999	0.32
0.00747013	0.33
0.00752902	0.34
0.00755191	0.35
0.00755405	0.36
0.00756884	0.37
0.00757217	0.38
0.00763607	0.39
0.00764394	0.40
0.00768209	0.41
0.00775313	0.42
0.00778484	0.43
0.0077939	0.44
0.00782514	0.45
0.0078609	0.46
0.007864	0.47
0.00791097	0.48
0.0079298	0.49
0.00793719	0.50
0.00802493	0.51
0.00803304	0.52
0.00803304	0.53
0.00825191	0.54
0.00857496	0.55
0.00858688	0.56
0.00858712	0.57
0.00861192	0.58
0.00871587	0.59
0.00893807	0.60
0.00906301	0.61
0.009413	0.62
0.00961995	0.63
0.00968814	0.64
0.009938	0.65
0.00995898	0.66
0.0099721	0.67
0.0100241	0.68
0.0100241	0.69
0.010097	0.70
0.010155	0.71
0.010478	0.72
0.0104871	0.73
0.0106409	0.74
0.0106568	0.75
0.010663	0.76
0.0107551	0.77
0.0107551	0.78
0.0108759	0.79
0.0109189	0.80
0.011097	0.81
0.053328	0.82
0.07969		0.83
0.0798061	0.84
0.0838001	0.85
0.0840979	0.86
0.084198	0.87
0.0843811	0.88
0.084439	0.89
0.0847368	0.90
0.09361		0.91
0.093652	0.92
0.0947928	0.93
0.095871	0.94
0.096782	0.95
0.0973649	0.96
0.0976732	0.97
0.0978601	0.98
0.0982561	0.99
0.0985401	1.00

