0.013612	0.01
0.0136662	0.02
0.01367	0.03
0.013701	0.04
0.013716	0.05
0.013746	0.06
0.0137811	0.07
0.0138071	0.08
0.0138221	0.09
0.0139701	0.10
0.0140481	0.11
0.0161619	0.12
0.016201	0.13
0.0162508	0.14
0.016721	0.15
0.01686	0.16
0.016897	0.17
0.0169649	0.18
0.017004	0.19
0.0170128	0.20
0.0174789	0.21
0.0175231	0.22
0.017777	0.23
0.017863	0.24
0.018307	0.25
0.018311	0.26
0.0184581	0.27
0.01862	0.28
0.01864	0.29
0.018667	0.30
0.0187001	0.31
0.0187349	0.32
0.018899	0.33
0.0190759	0.34
0.0191929	0.35
0.019274	0.36
0.0192761	0.37
0.0195739	0.38
0.019804	0.39
0.019871	0.40
0.0201149	0.41
0.0523961	0.42
0.052511	0.43
0.053057	0.44
0.0533941	0.45
0.053587	0.46
0.053628	0.47
0.0537169	0.48
0.054256	0.49
0.0544169	0.50
0.054497	0.51
0.0545309	0.52
0.0550001	0.53
0.0576341	0.54
0.0615349	0.55
0.06197	0.56
0.0648148	0.57
0.0664499	0.58
0.0669141	0.59
0.0673199	0.60
0.138218	0.61
0.139469	0.62
0.141694	0.63
0.150912	0.64
0.153368	0.65
0.169864	0.66
0.170727	0.67
0.173741	0.68
0.174507	0.69
0.174565	0.70
0.175861	0.71
0.317477	0.72
0.321507	0.73
0.529317	0.74
0.529322	0.75
0.571296	0.76
0.572188	0.77
0.638224	0.78
0.638852	0.79
0.660989	0.80
0.719974	0.81
0.877565	0.82
0.969892	0.83
1.01236	0.84
1.02909	0.85
1.26275	0.86
1.31487	0.87
1.35263	0.88
1.38744	0.89
1.43966	0.90
1.48833	0.91
1.58006	0.92
1.62321	0.93
1.79033	0.94
1.86526	0.95
3.36054	0.96
3.6769	0.97
4.63896	0.98
5.67751	0.99
7.1426	1.00

